Accession_number,Protein_name
Q2FW66,asp23
Q8CNG0,asp23
Q4L860,asp23
Q2FW66,asp23
Q8CNG0,asp23
Q4L860,asp23
P0A0B7,ahpC
Q2YTD0,SAB1569
Q8CS61,SE_1
Q4L751,SH1215
A5IRJ1,SaurJH9_1013
P0A0J3,sodA
Q2G261,sodM
A6TZQ3,tpiA
Q2YSF0,tpiA
Q2G030,tpiA
A6U178,frr
Q8CSU0,frr
A6U4E6,gpmA
Q6GE17,gpmA
Q2YWW3,SAB0837 P
A6U4Y6,fda
Q6GDJ7,fda
Q2FV17,fda
Q8CMY5,fda
Q4L9B6,fda
P63870,cysK
P63871,cysK
A6U176,tsf
A6QGF7,tsf
Q2YXL1,tsf
Q2FZ23,tsf
Q8CPG8,tsf
Q8CMW2,arcB
P65601,arcB
Q6GDG8,arcB
P0A036,gapA1
P0A037,gapA1
Q4L4X8,pgi
Q49WA1,pgi
Q2YWS3,pgi
Q2FZU0,pgi
P64194,pgi
Q8CT80,pgi
A6TZQ5,eno
O69174,eno
B9DJJ9,eno
Q4L4K7,eno
Q49W03,eno
A6U3I8,atpD
Q49Z50,atpD
B9DME3,atpD
Q4L7Y4,atpD
P37809,atpD
B9E8E6,atpD
B7HFK1,atpD
A9VSA3,atpD
B4RD45,atpA
A7H1H9,atpA
A5CQ58,atpA
Q6FFK2,atpA
Q180W8,atpA
Q9L4S1,katA
Q6GH72,katA
Q2FYU7,katA
Q9L4S2,katB
Q6GHC6,glnA
P60890,glnA
Q8CSR8,glnA
Q2G0G1,adh
Q7A742,adh
Q5HRD6,adh
Q8CQ56,adh
P39451,adhP
Q5HQK4,rocD
P60297,rocD2
Q6GID1,rocD2
A6TZQ2,pgk
Q4L4K4,pgk
Q49W00,pgk
Q8CTD6,pgk
Q833I9,pgk
Q6GDG7,arcA
A6U519,arcA
A6TXS4,deoB
Q2G296,fhs
Q2YTF6,fhs
A6U2J8,fhs
Q4L776,fhs
Q931G1,hutU
Q6GEA4,hutU
Q5PBV0,glmU
Q5SM23,era
B5Z8H3,deoB
P60121,
Q6GJB8,
A4T5P2,folE
Q99VD0,gluD
Q0C5A1,prs
B4UAM8,thrS
Q20Y47,RPC_4416
A6U4T5,rocA
Q8CN04,rocA
Q4L966,rocA
A9H1M6,rpsR
Q8AAN9,rplT
B8DSA6,rpsB
P21880,pdhD
P0A0E6,pdhD
P11959,pdhD
B7VJA9,nrdR
Q65LA0,rpsB
P77839,rpoC
Q9KV19,psd
Q6GJR0,SAR0405
Q99WJ2,SAV0387
A6TZ25,tuf
Q4L3K9,tuf
Q8CQ81,tuf
B9E8Q0,tuf
Q93PU8,tuf
Q6GI21,folD
A6U0N1,folD
Q3SNU3,leuB
Q6D4P7,msrB
O67868,pepA
P66962,tkt
P66963,tkt
A6LU97,trpA
P64269,gpml
Q8CPY4,gpml
Q49W02,gpml
Q4L4K6,gpml
Q1GZ82,gpml
A6U252,dnaK
C3L5R7,dnaK
Q65H54,dnaK
P75344,dnaK
P05646,dnaK
Q2YT47,dnaK
Q818E9,dnaK
P47547,dnaK
A6TZ24,fusA
A6QEJ9,fusA
Q8CQ82,fusA
Q49V57,fusA
B9DKV7,fusA
Q5U8S9,fusA
A6U200,efp
P0A036,gapA1
A6U3I9,atpG
Q2YUK0,atpG
Q99U14,rpsA
Q4L6I1,rpsA
Q7A5J0,rpsA
Q6GGT5,rpsA
Q5HP69,rpsA
Q8NW23,MW1694
Q2YTI5,SAB1611c
Q2FXH9,SAOUHSC_01868
Q6GFV0,SAR1836
P65635,pdhC
Q8CT13,pdhC
P21883,pdhC
Q6GES3,glmS
Q2FER5,rpoA
Q8CRI4,rpoA
Q7W603,cmk
P60089,pdhA
Q8CPN3,pdhA
Q2FXM9,pyk
Q8CS69,pyk
Q2YTD3,Staphylococcus aureus (strain bovine RF122/ET3-1)
Q7A759,SA0544
Q2YS77,SAB0537c
Q6LUH1,deoD1
Q6GFI2,SAR1965
Q6G859,SAS1797
Q8CRV8,SE_1560
Q2YWP9,Staphylococcus aureus (strain bovine RF122/ET3-1)
Q5F5J8,gltX
A7X3N3,pckA
Q6GFR5,pckA
Q8NVZ8,pckA
A6U3J8,glyA
B9DMF3,glyA
Q2NIT8,glyA
Q49Z60,glyA
Q6YR37,glyA
Q6GFZ8,ald2
Q2FXL7,ald2
Q931P7,ald2
A6U3J1,atpH
Q6GEW9,atpH
Q2YUJ8,atpH
P99063,pdhB
Q5HGZ0,pdhB
Q2YU76,SAB1858c
Q6G811,SAS1845
Q2FFH4,SAUSA300_1902
Q6GG30,tig
Q4L716,tig
Q2YV11,aldA
Q2G1J0,aldA
Q8CU95,serS
A6TXF9,serS
Q4LAK8,serS
Q6GGG3,gcvPA
A6U207,gcvPA
Q99VD0,gluD
Q6GD73,purA
P99099,purA
Q8CQK1,purA
Q4A164,purA
Q4LAK0,purA
Q6GJW4,SAR0351
Q2G124,SAOUHSC_00336
Q2YVF5,
Q7A7L2,SA0342
Q8NV80,MW2224
Q2YYT9,
Q6GEC9,SAR2389
Q99RW8,
Q2FWZ8,ftnA
Q6GD73,purA
P99099,purA
Q8CQK1,purA
Q4A164,purA
Q4LAK0,purA
P99146,tpx
Q6G8L4,tpx
Q7A3C4,SA2367
Q2YWC8,SAB2455
Q6GH55,acnA
Q8CPC2,acnA
P09339,citB
P63433,acnA
