Protein,Stoichiometry,Isozyme,KEGG_ID
SAPIG0243,4,0,R03857
SAPIG0333,1,0,R02250
SAPIG2721,1,0,R02250
SAPIG2178,2,0,R01876
SAPIG1467,4,0,R02331
SAPIG0162,20,0,R08281
SAPIG0686,1,0,R08281
SAPIG1112,1,0,R07412
SAPIG0913,2,0,R01388
SAPIG1955,2,0,R01388
SAPIG0235,2,0,R06987
SAPIG0127,2,0,R11705
SAPIG0235,2,0,R00212
SAPIG1068,1,0,R01072
SAPIG1091,1,1,R03270
SAPIG1090,1,1,R03270
SAPIG1658,2,0,R00125
SAPIG2547,1,0,R00959
SAPIG1569,1,0,R03293
SAPIG1202,2,0,R01870
SAPIG0979,2,0,R10707
SAPIG1311,12,0,R00253
SAPIG2176,2,0,R01291
SAPIG0205,4,0,R01974
SAPIG0641,1,0,R00428
SAPIG2574,1,0,R04089
SAPIG0025,2,0,R02323
SAPIG0159,1,0,R02323
SAPIG1104,1,0,R02323
SAPIG0566,6,0,R01049
SAPIG0576,1,0,R08245
SAPIG0438,4,0,R00782
SAPIG0526,1,0,R00782
SAPIG0941,6,0,R00243
SAPIG1406,1,0,R00539
SAPIG0012,2,0,R01776
SAPIG0661,6,0,R11522
SAPIG2646,2,0,R02473
SAPIG2062,1,0,R02734
SAPIG0159,1,0,R01877
SAPIG2726,1,1,R04558
SAPIG2724,1,1,R04558
SAPIG1200,1,1,R00575
SAPIG1199,1,1,R00575
SAPIG2141,1,0,R04428
SAPIG2002,2,0,R01083
SAPIG0140,1,0,R09078
SAPIG0262,1,0,R02413
SAPIG1661,2,0,R02413
SAPIG0181,1,0,R03869
SAPIG2164,1,0,R03869
SAPIG0561,1,0,R05634
SAPIG0644,1,0,R00765
SAPIG0537,1,1,R00114
SAPIG0538,1,1,R00114
SAPIG1752,4,0,R03238
SAPIG0776,1,0,R02071
SAPIG0177,4,0,R03317
SAPIG2099,1,1,R04001
SAPIG2098,1,1,R04001
SAPIG1164,1,0,R01395
SAPIG2682,1,0,R01395
SAPIG1200,1,1,R01395
SAPIG1199,1,1,R01395
SAPIG0150,6,0,R02297
SAPIG1184,2,0,R02297
SAPIG2180,6,0,R02297
SAPIG0788,4,0,R09959
SAPIG2214,1,0,R00758
SAPIG1569,1,0,R01251
SAPIG0243,4,0,R00388
SAPIG0242,1,0,R04743
SAPIG1698,2,0,R04378
SAPIG0181,1,0,R01986
SAPIG2164,1,0,R01986
SAPIG1230,4,0,R04543
SAPIG0242,1,0,R01778
SAPIG1748,2,0,R00267
SAPIG2320,1,0,R11581
SAPIG2546,1,0,R04858
SAPIG2092,2,0,R05070
SAPIG0159,1,0,R02370
SAPIG1144,1,1,R02164
SAPIG1145,1,1,R02164
SAPIG0629,1,0,R10991
SAPIG0581,8,0,R11073
SAPIG0808,2,1,R02018
SAPIG0809,2,1,R02018
SAPIG0541,1,0,R00837
SAPIG1785,1,0,R00926
SAPIG0150,6,0,R01863
SAPIG1184,2,0,R01863
SAPIG2180,6,0,R01863
SAPIG2210,2,0,R02704
SAPIG2211,1,0,R02704
SAPIG2161,2,0,R01567
SAPIG2325,6,0,R11372
SAPIG0040,1,0,R01470
SAPIG0942,1,0,R01470
SAPIG1773,1,0,R01470
SAPIG0244,1,0,R01280
SAPIG0159,1,0,R03929
SAPIG1290,2,0,R03929
SAPIG2135,1,0,R04448
SAPIG2077,1,0,R00760
SAPIG0193,1,0,R00491
SAPIG0641,1,0,R04639
SAPIG2664,4,0,R11636
SAPIG1427,1,0,R11765
SAPIG1228,2,0,R12240
SAPIG0331,1,0,R02087
SAPIG1222,1,0,R00619
SAPIG2096,4,0,R01213
SAPIG0325,3,0,R01055
SAPIG0241,1,0,R04747
SAPIG1581,24,0,R04747
SAPIG1072,1,0,R04144
SAPIG0434,1,0,R01177
SAPIG0241,1,0,R01177
SAPIG1581,24,0,R01177
SAPIG2137,4,0,R09993
SAPIG0209,2,0,R08555
SAPIG0641,1,0,R05048
SAPIG0025,2,0,R01126
SAPIG0159,1,0,R01126
SAPIG1104,1,0,R01126
SAPIG1042,1,0,R08166
SAPIG0243,4,0,R03777
SAPIG2324,1,0,R09735
SAPIG1415,2,0,R01940
SAPIG0641,1,0,R05046
SAPIG2108,1,0,R00582
SAPIG0193,1,0,R00686
SAPIG0580,2,0,R03066
SAPIG1230,4,0,R10116
SAPIG0168,2,0,R12553
SAPIG0526,1,0,R01283
SAPIG2176,2,0,R01283
SAPIG2479,2,0,R03231
SAPIG2484,1,0,R01514
SAPIG1785,1,0,R00235
