CHEBI,Name
CHEBI:57586,biotin
CHEBI:29032,pantothenate
CHEBI:83088,lipoate
CHEBI:32544,nicotinate
CHEBI:17836,4-aminobenzoate
CHEBI:57761,pyridoxamine
CHEBI:16709,pyridoxine
CHEBI:18385,thiamine
CHEBI:57427,L-leucine
CHEBI:32682,L-arginine
CHEBI:57762,L-valine
CHEBI:60039,L-proline
CHEBI:35235,L-cysteine
CHEBI:57305,glycine
CHEBI:33384,L-serine
CHEBI:29991,L-aspartate
CHEBI:57972,L-alanine
CHEBI:58359,L-glutamine
CHEBI:29985,L-glutamate
CHEBI:32551,L-lysine
CHEBI:58045,L-isoleucine
CHEBI:57305,glycine
CHEBI:57926,L-threonine
CHEBI:58095,L-phenylalanine
CHEBI:58315,L-tyrosine
CHEBI:57912,L-tryptophan
CHEBI:57595,L-histidine
CHEBI:58199,L-homocysteine
CHEBI:58048,L-asparagine
CHEBI:57844,L-methionine
CHEBI:16708,adenine 
CHEBI:16235,guanine
CHEBI:17568,uracil
CHEBI:17596,inosine
CHEBI:30839,orotate
CHEBI:17748,thymidine
CHEBI:17712,xanthine
CHEBI:16040,cytosine
CHEBI:17821,thymine
