RHEA_ID,Protein,Stoichiometry,Subunit,KEGG_ID,EC,DeltaG,RevIndex
RHEA:42424,SAPIG2099,1,0,R03898,4.2.1.35,8.792923733489147,3.5489302901341864
RHEA:42424,SAPIG2098,1,0,R03898,4.2.1.35,8.792923733489147,3.5489302901341864
RHEA:17400,SAPIG1230,1,0,R02767,1.1.1.100       1.1.1.-,,
RHEA:24930,SAPIG0438,1,0,R02408,4.4.1.1         4.4.1.13        4.4.1.35,1.1264293470574955,0.22732024925013833
RHEA:24930,SAPIG0526,1,0,R02408,4.4.1.1         4.4.1.13        4.4.1.35,1.1264293470574955,0.22732024925013833
RHEA:15216,SAPIG1414,1,0,R02570,2.3.1.61,,
RHEA:24411,SAPIG0481,1,0,R01560,3.5.4.4,-37.40101597981206,-10.06366805214912
RHEA:24411,SAPIG1184,1,0,R01560,3.5.4.4,-37.40101597981206,-10.06366805214912
RHEA:17216,SAPIG0169,1,0,R00420,5.1.3.14,1.5328480075672815,0.6186759818589613
RHEA:17216,SAPIG0178,1,0,R00420,5.1.3.14,1.5328480075672815,0.6186759818589613
RHEA:17216,SAPIG2153,1,0,R00420,5.1.3.14,1.5328480075672815,0.6186759818589613
RHEA:30391,SAPIG2611,1,0,R12507,2.6.1.117,-0.6638775270132555,-0.13397449676399079
RHEA:30734,SAPIG0243,1,0,R01175,1.3.3.6         1.3.8.1         1.3.8.7         1.3.99.-,35.12898213717858,7.089240879765088
RHEA:10895,SAPIG2097,1,0,R04426,1.1.1.85,15.626074417381687,3.1534362458146314
RHEA:21651,SAPIG2010,1,0,R01373,4.2.1.51        4.2.1.91,-96.32674765109303,-25.919093038194163
RHEA:16796,SAPIG1209,1,0,R03269,4.1.1.36,-38.28894900072626,-10.30258838468356
RHEA:10163,SAPIG0260,1,0,R07145,1.1.1.14,9.148692685639844,1.8462614695233213
RHEA:24023,SAPIG0943,1,0,R01086,4.3.2.1,-26.744680526322696,-7.196317531132503
RHEA:24059,SAPIG1104,1,0,R07343,3.1.3.25,,
RHEA:13716,SAPIG1144,1,1,R02164,1.3.5.1,,
RHEA:13716,SAPIG1145,1,1,R02164,1.3.5.1,,
RHEA:32746,SAPIG0525,1,0,R10305,2.5.1.134,-59.26378695490695,-11.959790338638
RHEA:18164,SAPIG0241,1,0,R03991,2.3.1.16        2.3.1.155,30.173820388935383,6.089259294921044
RHEA:18164,SAPIG1581,1,0,R03991,2.3.1.16        2.3.1.155,30.173820388935383,6.089259294921044
RHEA:29378,SAPIG0025,1,0,R00183,3.1.3.5,-31.687145927357612,-8.526210044803664
RHEA:29378,SAPIG0159,1,0,R00183,3.1.3.5,-31.687145927357612,-8.526210044803664
RHEA:29378,SAPIG1104,1,0,R00183,3.1.3.5,-31.687145927357612,-8.526210044803664
RHEA:51619,SAPIG2664,1,0,R11634,1.1.98.6,-62.47542507422793,-12.607918319050095
RHEA:28361,SAPIG0243,1,0,R03990,1.3.3.6         1.3.8.7         1.3.8.8         1.3.8.9,40.69752348196607,8.213006173845429
RHEA:27377,SAPIG0818,1,0,R08572,2.7.1.165,-10.881512561402815,-2.1959549918849386
RHEA:39135,SAPIG0243,1,0,R07950,1.3.3.6,-73.17242185856503,-14.766636912094103
RHEA:24067,SAPIG1723,1,0,R00036,4.2.1.24,-86.39210940224004,-23.245932993327838
RHEA:13436,SAPIG1633,1,0,R02485,3.5.4.5,-37.596026468698,-10.11614044562353
RHEA:24391,SAPIG2178,1,0,R01876,2.4.2.2         2.4.2.3,1.172036250740348,0.23652399801591323
RHEA:10775,SAPIG0280,1,0,R00839,3.2.1.86,-37.54203249404108,-10.101612031794968
RHEA:11587,SAPIG2238,1,0,R00672,5.1.1.9         5.1.1.10        5.1.1.12,-9.525207299235888,-3.8444887876505556
RHEA:23099,SAPIG2136,1,0,R03471,2.7.1.49,-11.463270808059974,-2.3133573216261563
RHEA:29370,SAPIG0025,1,0,R00511,3.1.3.5         3.1.3.91        3.1.3.-,-31.051660623815707,-8.355217012146023
RHEA:29370,SAPIG0159,1,0,R00511,3.1.3.5         3.1.3.91        3.1.3.-,-31.051660623815707,-8.355217012146023
RHEA:29370,SAPIG1104,1,0,R00511,3.1.3.5         3.1.3.91        3.1.3.-,-31.051660623815707,-8.355217012146023
RHEA:32462,SAPIG2451,1,0,R03194,2.1.1.107,-268.89734368350923,-36.17673926820814
RHEA:21564,SAPIG0241,1,0,R07891,2.3.1.16,,
RHEA:32966,SAPIG2071,1,0,R00269,3.5.1.3         3.5.1.111,-20.396246316274443,-5.488114348221155
RHEA:10119,SAPIG1576,1,0,R01528,1.1.1.44        1.1.1.351,-6.800527783198191,-1.0979100817977516
RHEA:17012,SAPIG1844,1,0,R04030,6.2.1.26,-18.15432447918579,-2.4424349243366303
RHEA:41887,SAPIG0980,1,0,R04726,2.3.1.41        2.3.1.85        2.3.1.86        2.3.1.179,,
RHEA:15504,SAPIG0537,1,1,R00114,1.4.1.13,47.76336086848937,6.425956571539923
RHEA:15504,SAPIG0538,1,1,R00114,1.4.1.13,47.76336086848937,6.425956571539923
RHEA:12359,SAPIG2692,1,0,R00772,5.3.1.8,-0.5004434789944412,-0.20198503648327998
RHEA:23935,SAPIG0331,1,0,R02770,5.1.3.9,0.0,0.0
RHEA:14720,SAPIG1790,1,0,R01826,2.5.1.54,-74.3520095984635,-15.004684846255783
RHEA:28345,SAPIG1147,1,0,R03531,3.6.1.66,-70.43017427809568,-18.950979705266498
RHEA:20224,SAPIG1784,1,0,R00943,6.3.4.3,,
RHEA:29402,SAPIG1147,1,0,R00720,3.6.1.66,-36.86732643710408,-9.920065685742408
RHEA:15184,SAPIG2145,1,0,R00086,3.6.1.5         3.6.1.8         3.6.1.15        3.6.1.-,-72.95309234584084,-14.722374891017846
RHEA:15184,SAPIG2147,1,0,R00086,3.6.1.5         3.6.1.8         3.6.1.15        3.6.1.-,-72.95309234584084,-14.722374891017846
RHEA:17288,SAPIG1013,1,0,R02689,2.4.1.315       2.4.1.336,,
RHEA:10736,SAPIG0162,1,0,R05233,1.1.1.1,,
RHEA:10736,SAPIG0686,1,0,R05233,1.1.1.1,,
RHEA:17808,SAPIG1664,1,0,R00194,3.2.2.9,-33.48307229499039,-9.009448436501735
RHEA:25306,SAPIG2676,1,0,R04620,3.1.3.1,25.93982477176766,6.97975119111447
RHEA:31218,SAPIG0181,1,0,R04903,1.2.1.3,-44.09159181928982,-8.897949674676516
RHEA:31218,SAPIG2164,1,0,R04903,1.2.1.3,-44.09159181928982,-8.897949674676516
RHEA:11064,SAPIG2568,1,0,R04780,3.1.3.11,-25.70648172667898,-6.9169644756595305
RHEA:41903,SAPIG0980,1,0,R04968,2.3.1.41        2.3.1.85        2.3.1.86        2.3.1.179,,
RHEA:16600,SAPIG2169,1,0,R00571,6.3.4.2,-6.619014896567933,-0.8905048032284034
RHEA:19364,SAPIG1587,1,0,R02003,2.5.1.10,-81.24714648855024,-16.396165137996032
RHEA:16232,SAPIG1263,1,0,R01799,2.7.7.41,,
RHEA:18340,SAPIG0325,1,0,R01055,4.2.1.70,-16.495118925242394,-4.438419572183943
RHEA:10743,SAPIG0162,1,0,R00624,1.1.1.1,,
RHEA:10743,SAPIG0686,1,0,R00624,1.1.1.1,,
RHEA:33271,SAPIG0333,1,0,R02250,3.1.1.3,,
RHEA:33271,SAPIG2721,1,0,R02250,3.1.1.3,,
RHEA:41895,SAPIG2141,1,0,R04568,2.3.1.85        2.3.1.86        2.3.1.-         4.2.1.59,,
RHEA:10607,SAPIG2059,1,0,R01312,3.1.4.3,,
RHEA:13097,SAPIG2141,1,0,R10117,4.2.1.59,,
RHEA:33051,SAPIG0162,1,0,R08558,1.1.1.1,14.61506419126863,2.9494082726489714
RHEA:33051,SAPIG0686,1,0,R08558,1.1.1.1,14.61506419126863,2.9494082726489714
RHEA:16296,SAPIG2098,1,1,R03968,4.2.1.33,-0.3915610012760453,-0.1580387525222407
RHEA:16296,SAPIG2099,1,1,R03968,4.2.1.33,-0.3915610012760453,-0.1580387525222407
RHEA:13036,SAPIG2254,1,1,R03240,5.3.1.26,-2.0015191764128986,-0.8078373299659569
RHEA:13036,SAPIG2255,1,1,R03240,5.3.1.26,-2.0015191764128986,-0.8078373299659569
RHEA:23543,SAPIG0603,1,0,R05578,6.1.1.17        6.1.1.24,,
RHEA:27689,SAPIG1467,1,0,R00330,2.7.4.6,-2.6677301092811376,-0.5383640571492794
RHEA:29322,SAPIG0040,1,0,R01470,3.1.4.2         3.1.4.46,,
RHEA:29322,SAPIG0942,1,0,R01470,3.1.4.2         3.1.4.46,,
RHEA:29322,SAPIG1773,1,0,R01470,3.1.4.2         3.1.4.46,,
RHEA:31090,SAPIG0241,1,0,R03778,2.3.1.16,30.173820388936292,6.089259294921228
RHEA:31090,SAPIG1581,1,0,R03778,2.3.1.16,30.173820388936292,6.089259294921228
RHEA:24287,SAPIG1395,1,0,R02291,1.2.1.11,-7.091378030767913,-1.144866351852132
RHEA:51627,SAPIG2664,1,0,R11633,1.1.98.6,-56.67362127781638,-11.437079252626736
RHEA:25290,SAPIG0162,1,0,R06917,1.1.1.1,18.062499174643563,3.6451214851478957
RHEA:25290,SAPIG0686,1,0,R06917,1.1.1.1,18.062499174643563,3.6451214851478957
RHEA:14268,SAPIG1722,1,0,R02272,5.4.3.8,-9.314422115754155,-3.75941334004708
RHEA:14268,SAPIG1957,1,0,R02272,5.4.3.8,-9.314422115754155,-3.75941334004708
RHEA:28109,SAPIG0262,1,0,R05571,1.1.1.251,15.619055801846343,3.152019846786097
RHEA:25237,SAPIG1467,1,0,R00139,2.7.4.6,0.2554983978087648,0.05156112065494232
RHEA:25163,SAPIG0200,1,0,R00667,2.6.1.13,-4.264141213289747,-0.8605294650524904
RHEA:25163,SAPIG0940,1,0,R00667,2.6.1.13,-4.264141213289747,-0.8605294650524904
RHEA:11615,SAPIG0537,1,1,R00248,1.4.1.3         1.4.1.4         1.4.1.13,16.302987053760347,2.6320330451357945
RHEA:11615,SAPIG0538,1,1,R00248,1.4.1.3         1.4.1.4         1.4.1.13,16.302987053760347,2.6320330451357945
RHEA:22063,SAPIG2478,1,0,R01078,2.8.1.6,,
