KEGG_ID,RHEA_ID,Protein,Stoichiometry,Isozyme
R03857,RHEA:31042,SAPIG0243,4,0
R02250,RHEA:33271,SAPIG0333,1,0
R02250,RHEA:33271,SAPIG2721,1,0
R01876,RHEA:24391,SAPIG2178,2,0
R02331,RHEA:28585,SAPIG1467,4,0
R07412,RHEA:63388,SAPIG1112,1,0
R01388,RHEA:17908,SAPIG0913,2,0
R01388,RHEA:17908,SAPIG1955,2,0
R06987,RHEA:28057,SAPIG0235,2,0
R11705,RHEA:52387,SAPIG0127,2,0
R00212,RHEA:11847,SAPIG0235,2,0
R01072,RHEA:14908,SAPIG1068,1,0
R03270,RHEA:19189,SAPIG1091,1,1
R03270,RHEA:19189,SAPIG1090,1,1
R00125,RHEA:24255,SAPIG1658,2,0
R10707,RHEA:12083,SAPIG0979,2,0
R00253,RHEA:16172,SAPIG1311,12,0
R01291,RHEA:17756,SAPIG2176,2,0
R01974,RHEA:18020,SAPIG0205,4,0
R04089,RHEA:48999,SAPIG2574,1,0
R02323,RHEA:30818,SAPIG0025,2,0
R02323,RHEA:30818,SAPIG0159,1,0
R02323,RHEA:30818,SAPIG1104,1,0
R01049,RHEA:15612,SAPIG0566,6,0
R00782,RHEA:24934,SAPIG0438,4,0
R00782,RHEA:24934,SAPIG0526,1,0
R00243,RHEA:15136,SAPIG0941,6,0
R01776,RHEA:13704,SAPIG0012,2,0
R11522,RHEA:56519,SAPIG0661,6,0
R02473,RHEA:10915,SAPIG2646,2,0
R02734,RHEA:22611,SAPIG2062,1,0
R01877,RHEA:27893,SAPIG0159,1,0
R04558,RHEA:24796,SAPIG2726,1,1
R04558,RHEA:24796,SAPIG2724,1,1
R00575,RHEA:18636,SAPIG1200,1,1
R00575,RHEA:18636,SAPIG1199,1,1
R01083,RHEA:16856,SAPIG2002,2,0
R09078,RHEA:27289,SAPIG0140,1,0
R02413,RHEA:17740,SAPIG0262,1,0
R02413,RHEA:17740,SAPIG1661,2,0
R03869,RHEA:31046,SAPIG0181,1,0
R03869,RHEA:31046,SAPIG2164,1,0
R05634,RHEA:18440,SAPIG0561,1,0
R00765,RHEA:12175,SAPIG0644,1,0
R00114,RHEA:15504,SAPIG0537,1,1
R00114,RHEA:15504,SAPIG0538,1,1
R02071,RHEA:14216,SAPIG0776,1,0
R03317,RHEA:25783,SAPIG0177,4,0
R04001,RHEA:10679,SAPIG2099,1,1
R04001,RHEA:10679,SAPIG2098,1,1
R01395,RHEA:30758,SAPIG1164,1,0
R01395,RHEA:30758,SAPIG2682,1,0
R01395,RHEA:30758,SAPIG1200,1,1
R01395,RHEA:30758,SAPIG1199,1,1
R02297,RHEA:27641,SAPIG0150,6,0
R02297,RHEA:27641,SAPIG1184,2,0
R02297,RHEA:27641,SAPIG2180,6,0
R09959,RHEA:27969,SAPIG0788,4,0
R00758,RHEA:19664,SAPIG2214,1,0
R01251,RHEA:14112,SAPIG1569,1,0
R04743,RHEA:31190,SAPIG0242,1,0
R04378,RHEA:31138,SAPIG1698,2,0
R01986,RHEA:30806,SAPIG0181,1,0
R01986,RHEA:30806,SAPIG2164,1,0
R04543,RHEA:40243,SAPIG1230,4,0
R04543,RHEA:41904,SAPIG1230,4,0
R01778,RHEA:22435,SAPIG0242,1,0
R00267,RHEA:19632,SAPIG1748,2,0
R11581,RHEA:34246,SAPIG2320,1,0
R04858,RHEA:13681,SAPIG2546,1,0
R05070,RHEA:27697,SAPIG2092,2,0
R02370,RHEA:27897,SAPIG0159,1,0
R02164,RHEA:13716,SAPIG1144,1,1
R02164,RHEA:40526,SAPIG1144,1,1
R02164,RHEA:13716,SAPIG1145,1,1
R02164,RHEA:40526,SAPIG1145,1,1
R10991,RHEA:70226,SAPIG0629,1,0
R11073,RHEA:45331,SAPIG0581,8,0
R02018,RHEA:28029,SAPIG0808,2,1
R02018,RHEA:28029,SAPIG0809,2,1
R00837,RHEA:23011,SAPIG0541,1,0
R01863,RHEA:27649,SAPIG0150,6,0
R01863,RHEA:27649,SAPIG1184,2,0
R01863,RHEA:27649,SAPIG2180,6,0
R02704,RHEA:33366,SAPIG2210,2,0
R02704,RHEA:33366,SAPIG2211,1,0
R11372,RHEA:49583,SAPIG2325,6,0
R01470,RHEA:29322,SAPIG0040,1,0
R01470,RHEA:29322,SAPIG0942,1,0
R01470,RHEA:29322,SAPIG1773,1,0
R01280,RHEA:30754,SAPIG0244,1,0
R03929,RHEA:27885,SAPIG0159,1,0
