RHEA_ID,Protein,Stoichiometry,Isozyme,EC,KEGG_ID
RHEA:42916,SAPIG1217,1,0,2.1.1.192,R
RHEA:10224,SAPIG0654,1,0,2.7.1.35,R00174
RHEA:25104,SAPIG0654,1,0,2.7.1.35,R02493
RHEA:25108,SAPIG0654,1,0,2.7.1.35,R01909
RHEA:19649,SAPIG1693,1,0,6.1.1.12,R05577
RHEA:31575,SAPIG1841,1,0,3.6.1.55,R09832
RHEA:19413,SAPIG1135,1,0,6.1.1.20,R03660
RHEA:19413,SAPIG1134,1,0,6.1.1.20,R03660
RHEA:24176,SAPIG1768,1,0,2.8.1.4,R03923
RHEA:22016,SAPIG0886,1,0,1.20.4.1,R05747
RHEA:10668,SAPIG1361,1,0,2.3.2.3,R03771
RHEA:12044,SAPIG2721,1,0,3.1.1.3,R01369
RHEA:12044,SAPIG0333,1,0,3.1.1.3,R01369
RHEA:10580,SAPIG1717,1,0,6.3.2.17,R04241
RHEA:51904,SAPIG1717,1,0,6.3.2.17,R
RHEA:51912,SAPIG1717,1,0,6.3.2.17,R
RHEA:36899,SAPIG1240,1,0,2.1.1.228,R00597
RHEA:10040,SAPIG1757,1,0,3.1.3.7,R00188
RHEA:77643,SAPIG1757,1,0,3.1.3.7,R
RHEA:11972,SAPIG1986,1,0,1.16.3.2,R
RHEA:16201,SAPIG0792,1,0,4.1.3.38,R05553
RHEA:16201,SAPIG0791,1,0,4.1.3.38,R05553
RHEA:20696,SAPIG1618,1,0,1.15.1.1,R00275
RHEA:20696,SAPIG0147,1,0,1.15.1.1,R00275
RHEA:23192,SAPIG1419,1,0,2.4.1.227,R05662
RHEA:31227,SAPIG1419,1,0,2.4.1.227,R05032
RHEA:12813,SAPIG1146,1,0,5.1.1.3,R00260
RHEA:13565,SAPIG0267,1,0,2.7.8.12,R04042
RHEA:54728,SAPIG1754,1,0,2.1.3.15,R04386
RHEA:54728,SAPIG1753,1,0,2.1.3.15,R04386
RHEA:37363,SAPIG0179,1,0,1.14.99.48,R10510
