RHEA_ID,LOWER_BOUND,UPPER_BOUND,REASON
15841,0,1000,METACYC
38215,0,1000,METACYC
12653,0,1000,metacyc
18256,0,1000,metacyc
19172,0,1000,metacyc
32746,0,1000,metacyc
25294,0,1000,metacyc 
25318,0,1000,metacyc 
30774,0,1000,metacyc
14216,0,1000,metacyc
27693,0,1000,metacyc
19204,0,1000,metacyc
23103,0,1000,metacyc
14629,0,1000,metacyc
27689,0,1000,metacyc
44952,0,1000,metacyc
31042,0,1000,metacyc
30750,0,1000,metacyc
31286,0,1000,metacyc
31162,0,1000,metacyc
31210,0,1000,metacyc
52572,0,1000,metacyc
28585,0,1000,metacyc
27677,0,1000,metacyc
10240,-1000,0,metacyc
25098,0,1000,metacyc
27681,0,1000,metacyc
33795,0,1000,metacyc
28357,0,1000,reactome
44960,0,1000,reactome
10339,0,1000,reactome
11708,0,1000,reactome
15612,0,1000,reactome
17436,0,1000,reactome
43384,0,1000,loop
30350,0,1000,loop
20373,0,1000,ecocyc
18160,0,1000,kegg
12976,0,1000,m-csa
23523,0,1000,curate
19820,-1000,0,m-csa
12768,0,1000,loop
36495,0,1000,reactome
