Type,Metabolite,CHEBI,Protein,Stoichiometry,Isozyme
ABC,phosphate,43474,SAPIG1387,1,
ABC,phosphate,43474,SAPIG1388,1,
ABC,phosphate,43474,SAPIG1389,1,
ABC,phosphate,43474,SAPIG1923,1,
ABC,phosphate,43474,SAPIG2463,1,
ABC,ornithine,46911,,1,
ABC,Urea,16199,,1,
ABC,heme,60344,SAPIG1129,1,
ABC,heme,60344,SAPIG1726,1,
ABC,heme,60344,SAPIG2085,1,
ABC,glucose,15903,g1,1,
ABC,ribose,47013,,1,
ABC,L-alanine,57972,,1,
ABC,L-serine,33384,,1,
ABC,L-phenylalanine,58095,,1,
ABC,L-tyrosine,58315,,1,
ABC,L-glutamate,29985,SAPIG2464,1,
ABC,L-glutamate,29985,SAPIG2465,1,
ABC,L-glutamate,29985,SAPIG1924,1,
ABC,Glycine,57305,SAPIG2497,1,
ABC,Glycine,57305,SAPIG2498,1,
ABC,Glycine,57305,SAPIG2499,1,
ABC,Glycine,57305,SAPIG2500,1,
ABC,Glycine,57305,SAPIG2507,1,
ABC,Glycine,57305,SAPIG2514,1,
ABC,L-aspartate,29991,SAPIG1924,1,
ABC,L-aspartate,29991,SAPIG2464,1,
ABC,L-aspartate,29991,SAPIG2465,1,
ABC,L-lysine,32551,,1,
ABC,L-methionine,57844,SAPIG0529,1,
ABC,L-methionine,57844,SAPIG0894,1,
ABC,L-tryptophan,57912,,1,
ABC,L-cysteine,35235,,1,
ABC,L-histidine,57595,,1,
ABC,L-asparagine,58048,,1,
ABC,L-arginine,32682,,1,
ABC,L-threonine,57926,,1,
ABC,L-valine,57762,,1,
ABC,L-glutamine,58359,SAPIG1924,1,
ABC,L-glutamine,58359,SAPIG2464,1,
ABC,L-glutamine,58359,SAPIG2465,1,
ABC,L-isoleucine,58045,,1,
ABC,L-proline,60039,SAPIG2497,1,
ABC,L-proline,60039,SAPIG2499,1,
ABC,L-leucine,57427,,1,
ABC,iron(III),29034,,1,
ABC,putrescine,326268,SAPIG1097,1,
ABC,putrescine,326268,SAPIG1098,1,
ABC,putrescine,326268,SAPIG1099,1,
ABC,spermidine,57834,SAPIG1097,1,
ABC,spermidine,57834,SAPIG1098,1,
ABC,spermidine,57834,SAPIG1099,1,
ABC,spermidine,57834,SAPIG1096,1
ABC,taurine,507393,SAPIG0188,1,
ABC,glycine betaine,17750,SAPIG0187,1,
ABC,glycine betaine,17750,SAPIG0467,1,
ABC,glycine betaine,17750,SAPIG0799,1,
ABC,glycine betaine,17750,SAPIG0800,1,
ABC,glycine betaine,17750,SAPIG0984,1,
ABC,glycine betaine,17750,SAPIG0985,1,
ABC,glycine betaine,17750,SAPIG0989,1,
ABC,glycine betaine,17750,SAPIG0990,1,
ABC,glycine betaine,17750,SAPIG2497,1,
ABC,glycine betaine,17750,SAPIG2498,1,
ABC,glycine betaine,17750,SAPIG2499,1,
ABC,glycine betaine,17750,SAPIG2500,1,
ABC,glycine betaine,17750,SAPIG2507,1,
ABC,glycine betaine,17750,SAPIG2514,1,
ABC,L-arabinose,40886,,1,
PTS,fructose,28645,SAPIG0257,1,
PTS,fructose,28645,SAPIG0323,1,
PTS,fructose,28645,SAPIG0412,1,
PTS,fructose,28645,SAPIG0777,1,
PTS,fructose,28645,SAPIG2213,1,
PTS,fructose,28645,SAPIG2583,1,
PTS,fructose,28645,SAPIG2691,1,
PTS,glucose,15903,SAPIG0207,1,
PTS,glucose,15903,SAPIG0210,1,
PTS,glucose,15903,SAPIG0254,1,
PTS,glucose,15903,SAPIG0279,1,
PTS,glucose,15903,SAPIG0540,1,
PTS,glucose,15903,SAPIG1423,1,
PTS,glucose,15903,SAPIG1778,1,
PTS,glucose,15903,SAPIG2374,1,
PTS,glucose,15903,SAPIG2432,1,
PTS,glucose,15903,SAPIG2588,1,
PTS,n-acetyl-glucosamine,506227,,1,
PTS,mannitol,16899,SAPIG2210,1,
PTS,mannitol,16899,SAPIG2213,1,
PTS,sucrose,17992,,1,
Permease,Nitrogen,17997,,1,
Permease,glycerol,17754,,1,
Antiport,aspartate/alanine,29991/57972,SAPIG1720,1,
Antiport,arginine/ornithine,32682/46911,SAPIG2683,1,
Antiport,Na/H,29101/15378,SAPIG0709,1,
Antiport,Na/H,29101/15378,SAPIG2491,1,
Antiport,Na/H,29101/15378,SAPIG1005,1,
Antiport,Na/H,29101/15378,SAPIG0518,1,A
Antiport,Na/H,29101/15378,SAPIG0702,1,A
Antiport,Na/H,29101/15378,SAPIG0935,1,A
Antiport,Na/H,29101/15378,SAPIG0703,1,B
Antiport,Na/H,29101/15378,SAPIG0934,1,B
Antiport,Na/H,29101/15378,SAPIG0704,1,C
Antiport,Na/H,29101/15378,SAPIG0933,1,C
Antiport,Na/H,29101/15378,SAPIG0705,1,D
Antiport,Na/H,29101/15378,SAPIG0932,1,D
Antiport,Na/H,29101/15378,SAPIG0706,1,E
Antiport,Na/H,29101/15378,SAPIG0931,1,E
Antiport,Na/H,29101/15378,SAPIG0930,1,F
Antiport,Na/H,29101/15378,SAPIG0707,1,F
Antiport,Na/H,29101/15378,SAPIG0708,1,G
Antiport,Na/H,29101/15378,SAPIG0929,1,G
Antiport,Na/H,29101/15378,SAPIG0926,1,
Antiport,Na/H,29101/15378,SAPIG2351,1,
Antiport,Na/H,29101/15378,SAPIG2377,1,
Antiport,leucine/H,57427/15378,,1,
Antiport,isoleucine/H,58045/15378,,1,
Antiport,valine/H,57762/15378,,1,
Antiport,cysteine/H,35235/15378,,1,
Antiport,acetylserine/H,58340/15378,,1,
Antiport,Acetyl-CoA/CoA,57288/57287,,1,
Antiport,aspartate-malate,29991/15589,,1,
Antiport,aspartate-fumarate,29991/29806,,1,
Antiport,aspartate-succinate,29991/30031,,1,
Antiport,malate-succinate,15589/30031,,1,
Antiport,malate-fumarate,15589/29806,,1,
Antiport,succinate-fumarate,30031/29806,,1,
Antiport,lysine/H,32551/15378,,1,
Symport,nitrate/H,17632/15378,,1,
Symport,formate/Na,15740/29101,,1,
Symport,formate/H,15740/15378,,1,
Symport,proline/Na,60039/29101,SAPIG0021,1,
Symport,proline/Na,60039/29101,SAPIG0327,1,
Symport,proline/Na,60039/29101,SAPIG1416,1,
Symport,proline/Na,60039/29101,SAPIG1557,1,
Symport,proline/Na,60039/29101,SAPIG1746,1,
Symport,proline/Na,60039/29101,SAPIG1996,1,
Symport,proline/Na,60039/29101,SAPIG2120,1,
Symport,proline/H,60039/15378,,1,
Symport,acetate/Na,30089/29101,,1,
Symport,Na/Pi,29101/43474,SAPIG0118,1,
Symport,alanine/Na,57972/29101,SAPIG1008,1,
Symport,alanine/Na,57972/29101,SAPIG1358,1,
Symport,alanine/H,57972/15378,,1,
Symport,tyrosine/H,58315/15378,,1,
Symport,tryptophan/H,57912/15378,,1,
Symport,serine/H,33384/15378,,1,
Symport,serine/Na,33384/29101,,1,
Symport,histidine,57595/15378,,1,
Symport,glycine/Na,57305/29101,,1,
Symport,glutamate/Na,29985/29101,,1,
Symport,gluconate/H,18391/15378,,1,
Symport,nitrite/H,16301/15378,,1,
Symport,glycerol-3-phosphate/H,57597/15378,,1,
Symport,H/alpha-ketoglutarate,15378/16810,,1,
Symport,r-lactate/H,16004/15378,,1,
Symport,choline/H,15354/15378,,1,
Symport,glycine-betaine/H,17750/15378,,1,
Symport,phosphate/H,43474/15378,,1,
