RHEA_ID,LOWER_BOUND,UPPER_BOUND,REASON
57888,0,1000,KEGG
40523,0,1000,KEGG
46012,0,1000,KEGG
29195,0,1000,KEGG
29219,0,1000,KEGG
30095,0,1000,KEGG
30262,0,1000,KEGG
26312,0,1000,KEGG
26478,0,1000,KEGG
42643,0,1000,KEGG
40526,0,1000,KEGG
46015,0,1000,KEGG
25596,0,1000,KEGG
25600,0,1000,KEGG
10199,0,1000,KEGG
17012,0,1000,KEGG
26565,0,1000,KEGG
26312,0,1000,KEGG
26478,-1000,0,KEGG
14008,0,1000,KEGG
26437,0,1000,KEGG
21732,0,1000,KEGG
56963,-1000,0,KEGG
23176,0,1000,KEGG
16232,0,1000,KEGG
13068,0,1000,KEGG
10535,0,1000,KEGG
18636,0,1000,KEGG
24677,0,1000,KEGG
16828,0,1000,KEGG
19129,0,1000,KEGG
26429,0,1000,KEGG
16600,0,1000,KEGG
16172,0,1000,KEGG
17848,0,1000,KEGG
14360,0,1000,KEGG
17240,0,1000,KEGG
30150,-1000,0,KEGG
23519,0,1000,KEGG
19189,0,1000,KEGG
24796,0,1000,KEGG
21019,-1000,0,KEGG
18248,0,1000,KEGG
17848,0,1000,KEGG
15841,0,1000,METACYC
38215,0,1000,METACYC
12768,0,1000,KEGG
36495,0,1000,KEGG
17828,0,1000,KEGG
16172,0,1000,KEGG
15504,-1000,0,KEGG
16172,0,1000,KEGG
18636,0,1000,KEGG
15504,-1000,0,KEGG
24946,0,1000,KEGG
30806,0,1000,KEGG
17740,-1000,1000,KEGG
10255,0,1000,KEGG
19513,0,1000,KEGG
11819,0,1000,KEGG
31134,0,1000,KEGG
29370,0,1000,KEGG
28165,0,1000,KEGG
29358,0,1000,KEGG
28209,0,1000,KEGG
46043,0,1000,KEGG
29366,0,1000,KEGG
59112,0,1000,KEGG
30754,0,1000,KEGG
30658,0,1000,KEGG
24215,0,1000,KEGG
23455,0,1000,KEGG
10843,0,1000,KEGG
12653,0,1000,metacyc
18256,0,1000,metacyc
18620,-1000,1000,metacyc
19172,0,1000,metacyc
32746,0,1000,metacyc
14832,0,1000,KEGG
25294,0,1000,metacyc 
25318,0,1000,metacyc 
30774,0,1000,metacyc
16109,0,1000,KEGG
14216,0,1000,metacyc
27693,0,1000,metacyc
19204,0,1000,metacyc
23103,0,1000,metacyc
14629,0,1000,metacyc
27689,0,1000,metacyc
44952,0,1000,metacyc
31042,0,1000,metacyc
30750,0,1000,metacyc
31286,0,1000,metacyc
31162,0,1000,metacyc
31210,0,1000,metacyc
52572,0,1000,metacyc
28585,0,1000,metacyc
27677,0,1000,metacyc
10240,-1000,0,metacyc
25098,0,1000,metacyc
27681,0,1000,metacyc
33795,0,1000,metacyc
28357,0,1000,reactome
44960,0,1000,reactome
49007,0,1000,metacyc
49003,0,1000,metacyc
16848,0,1000,metacyc
10339,0,1000,reactome
27641,0,1000,metacyc
28533,0,1000,metacyc
27717,0,1000,metacyc
12697,0,1000,metacyc
27721,0,1000,metacyc
11708,0,1000,reactome
28193,0,1000,metacyc
15612,0,1000,reactome
11683,0,1000,metacyc
10935,0,1000,metacyc
22011,0,1000,metacyc
19625,0,1000,metacyc
17436,0,1000,reactome
11415,0,1000,metacyc 
18116,0,1000,metacyc
18304,0,1000,metacyc
18620,0,1000,metacyc
20224,0,1000,metacyc
20847,0,1000,metacyc
21163,-1000,0,metacyc
25097,0,1000,metacyc
27377,0,1000,metacyc
11311,0,1000,metacyc
25237,0,1000,metacyc
51619,0,1000,metacyc
20851,0,1000,metacyc
19925,-1000,0,metacyc
62372,0,1000,metacyc
16873,0,1000,metacyc
10119,0,1000,metacyc
33023,0,1000,metacyc
15216,-1000,0,metacyc
30059,0,1000,metacyc
44640,0,1000,metacyc
51476,0,1000,metacyc
17989,0,1000,metacyc
15773,0,1000,metacyc
54728,0,1000,metacyc
